model,year,trivia,bore/stroke,unitary displacement,total displacement,compression ratio,maximum power,power per litre,maximum torque,valve actuation,fuel feed,ignition,lubrication,clutch,frame,front suspension,rear suspension,brakes,transmission,steering,fuel tank,front tyres,rear tyres,type,length,width,height,wheelbase,front track,rear track,weight,top speed,acceleration 0-100,0-400,0-1000,motore,urban test cycle (homologation 4-1993 with precedent testethod),motorway at 90 (homologation 4-1993 with precedent testethod),motorway at 120 (homologation 4-1993 with precedent testethod),"urban test cycle ece (version ""euro 2"")","extra urban test cycle eudc (version ""euro 2"")","consumption ece+eudc (version ""euro 2"")","co2 emissions combined (version ""euro 2"")","urban test cycle ece (version ""euro 3"")","extra urban test cycle eudc (version ""euro 3"")","consumption ece+eudc (version ""euro 3"")","co2 emissions combined (version ""euro 3"")","urban test cycle ece (versione ""euro 3"")","extra urban test cycle eudc (versione ""euro 3"")","consumption ece+eudc (versione ""euro 3"")","co2 emissions combined (versione ""euro 3"")",urban test cycle ece,extra urban test cycle eudc,consumption ece+eudc,co2 emissions combined,overall length,overall width,front overhang,rear overhang,dry weight,kerb weight,boot (trunk) capacity,fuel tank capacity,weight distribution,unit displacement,specific power,dry weight/power,transmission and gearbox,electronic controls,front,rear,maximum speed,0-100 (0-62ph),manual gearbox: 0-400,manual gearbox: 0-1000,f1 gearbox: 0-400,f1 gearbox: 0-1000,combined,*,**,gearbox,maximum power*,maximum revs perinute,specific output,suspension,0-200 (0-124ph),engine intake with twin ø,chassis,overall lenght,height 4,ful tank capacity,weight/power ratio,overall displacement,maximum power**,0-100,0-1.000,cst with f1-trac system,tptms,rear:,combined (ece+eudc)*,front (option),rear (option),overall lenght (in),overall width (in),height (in),wheelbase (in),front track (in),rear track (in),dry wheight* (lb),kerb weight* (lb),fuel tank capacity (gal),boot (trunk) capacity (cu ft),front (in),rear (in),cst with f1-trac,bore and stroke (in),unit displacement (cu in),total displacement (cu in),maximum speed (mph),0-62ph (s),0-1.000 (s),weight/power ratio (lb/cv),combined* (ece+eudc) (l/100 km),combined* (ece+eudc) (g/km),specific power output,weight distribution fr/r,fuel consumption***,emissions***,electronics,***,dry weight*,kerb weight*,boot capacity,bore and stroke,maximum torque**,f1,scm,combined ece*,front (winter),"rear (winter, can be used w/ chain)",0-62ph,0-124ph,suspensions,dry wheight,maximum engine speed,fiorano lap time,rear winter,0-62ph (0-100),0-124ph (0-200),dry weight/power ratio,fuel consumption (europeanarket version),co2 emission (europeanarket version),rear bench capacity,0-437 yd (0-400),0-1093 yd (0-1000),62-0ph (100-0),124-0ph (200-0),co2 emissions ***,7 gears f1 dual clutch transmission,"e-diff3, f1-trac, high performance abs with ferrari pre-fill","rear (winter, can be used with chains)",total capacity,maximum power **,maximum revs,esc,high-performance abs/ebd,f1-trac,e-diff 3,scm-e with dual coil,0-200,"** engine power is expressed in kw, in accordance with",totalaximum power,totalaximum torque,v12aximum power*,v12aximum torque,electricotor output,co2 emissions,0-300,7-speed dct,high perf abs/ebd,ef1-trac,scm-e frs,aerodynamics,maximum revs (limiter),"esc, high performance abs/ebd, f1-trac, e-diff, scc, frd scm-e",7-speed f1 dual-clutch transmission,fuel consumption,high performance abs/ebd distribution,ssc,frs scm-e,0-400m (0-437 yd),0-1000m (0-1093 yd),100 - 0 (62 – 0ph),200 – 0 (124 – 0 kph),co2 emissions***,maximum torque*,dry weight**,kerb weight**,front (opt),rear (opt),cst with f1 trac system (control for stability and traction),maximum revs perinute (limiter),"rear (winter, can be used with chain)",7-speed f1 dual-clutch gearbox,62-0ph,124-0ph,high performance abs/ebd,f1 trac,maximum power *,maximum torque *,kerb weight **,dry weight **,"e-diff3, f1-trac, abs/ebd performance with ferrari pre-fill, frs scm-e, ssc",0-400m,0-1000m,low,mid,high,extra high,7-speed f1 dual-clutch,bore stroke,"e-diff3, f1-trac, high-performance abs with ferrari pre-fill, frs scm-e, ssc",0 – 100,0 – 200,0 – 400,0 – 1000,maximum power output*,max. revs,0-100 km/h,4rm evo/4ws/ 7-speed f1 dct/ e-diff,"ssc4/ cst with f1 trac, esp",9.0 premium with abs evo/scm - e,0 - 100,0 - 200,100 - 0,200 - 0,max. power output*,max. engine speed,"f1 dual-clutch transmission, 7-speed","esp, esc, with f1-trac, e-diff 3, scm- 					e with twin solenoid",100-0,max. torque*,f1 seven-speed dual-clutch transmission,"e-diff3, f1-trac, abs/high performance ebd with ferrari pre-fill, frs scm-e, fde, ssc 6.0",0-200 km/h,100-0 km/h,200-0 km/h,max. speed,f1 7-speed dual-clutch gearbox,"e-diff3, f1-trac, high performance abs/ebd with ferrari pre-fill, frs scm-e, ssc with fde"
400 Superamerica,1960,"Produced in two series between 1960 and 1964, the 400 Superamerica was one of those flagship models created in response to customer demand. A big, 4-litre V12, with loads of power and massive torque, sober yet luxurious interior, firm suspension settings that didn’t compromise on comfort, and a gearbox with overdrive. The cars were all bodied by Pininfarina and included spider, cabriolet and aerodynamic coupé versions, as well as the famous, one-off Superfast models: II, III and IV.",77 x 71 mm,330.62 cc,3967.44 cc,8.8 : 1,250 kW (340 hp) at 7000 rpm,86 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 46 DCF/3 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","live axle, twin radius arms, semi-elliptic springs, co-axial springs and telescopic shock absorbers",discs,4-speed + overdrive + reverse,worm and sector,capacity 120 litres,6.50 x 15,6.50 x 15,"two-seater coupé, cabriolet",-,-,-,2420 mm,1359 mm,1350 mm,"1250 kg (dry, coupé)",265 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino 246 S,1960,"Just like the two-litre version, the Dino 246 S shared a similar styling to the 250 Testa Rossa of the same era, but was equipped with an engine derived from Formula 1. This version debuted in January 1960 at the Buenos Aires 100 km during the Temporada Argentina in the hands of Scarfiotti and Gonzalez. Two cars also took part in the Targa Florio, coming home second and fourth respectively. Although the Dino 246 S was subsequently used extensively by privateers, the official Ferrari works drivers only fielded the 250 Testa Rossa.",85 x 71 mm,402.88 cc,2417.33 cc,9.8 : 1,184 kW (250 hp) at 7500 rpm,103 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 42 DCN carburettors,"single spark plug per cylinder, single coil",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","live axle, radius arms, coil springs, telescopic shock absorbers",discs,5-speed + reverse,rack-and-pinion,capacity 120 litres,5.50 x 15,6.00 x 15,two-seater spider,-,-,-,2160 mm,1245 mm,1205 mm,640 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246 SP,1961,The 246 SP caused uproar when it was unveiled at a special press conference in 1961 as it was the very first mid-engined Ferrari. The new mechanical layout was cloaked in highly innovative bodywork – developed as a result of Carlo Chiti’s wind tunnel tests – with a very low bonnet line. The new car’s first victory came the same year on the very difficult Piccole Madonie Circuit where Olivier Gendebien won the Targa Florio.,85 x 71 mm,402.88 cc,2417.33 cc,9.8 : 1,199 kW (270 hp) at 8000 rpm,112 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",three Weber 42 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers",discs,5-speed + reverse,rack-and-pinion,capacity 115 litres,5.50 x 15,6.50 x 15,two-seater spider,4060 mm,1480 mm,1050 mm,2320 mm,1200 mm,1200 mm,590 kg (dry),270 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 TR,1962,"This one-off was the last Ferrari front-engined sports car to win the classic Le Mans 24-hour race. The 330 TRI pulled off this feat in 1962, courtesy of the legendary pairing of American Phil Hill and Belgian Olivier Gendebien. The 330 TRI was built on a modified TR chassis with a longer wheelbase and independent rear suspension. It was powered by a single cam-shaft Type 330 V12 four-litre that produced 390bhp. The line of the 330 TRI’s bodywork was that of the classic 1950s racing barchettas. Fast and reliable, after its triumph in the race for which it was built, it was sold to Chinetti’s NART team and went on to take part in other races.",77 x 71 mm,330.62 cc,3967.44 cc,8.8 : 1,287 kW (390 hp) at 7500 rpm,98 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",six Weber 42 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers",discs,5-speed + reverse,worm and sector,capacity 140 litres,6.00 x 16,7.00 x 16,two-seater spider,4520 mm,1590 mm,1050 mm,2420 mm,1245 mm,1275 mm,820 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 LM,1962,"The 4-litre berlinetta racers were built to comply with changing FIA regulations. The bodywork of the first two was very similar to that of the 250 GTO and, in fact, at times they were even referred to as the 4-litre GTOs. However, other models were subsequently built with Pininfarina bodywork with styling similar to the Turin coachbuilder’s other models and resembled the 250 Lusso from some angles, although the nose was closer to the 250 GTO. The 330 LMs saw plenty of competition use, especially at the 24 Hours of Le Mans from which they take the LM suffix to their name.",77 x 71 mm,330.62 cc,3967.44 cc,8.8 : 1,287 kW (390 hp) at 7500 rpm,98 hp/l,-,"single overhead camshafts per bank, two valves per cylinder",six Weber 42 DCN carburettors,"single spark plugs per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, co-axial springs and telescopic shock absorbers, anti-roll bar","live axle, semi-elliptic springs, telescopic shock absorbers",discs,4-speed + reverse,worm and roller,capacity 140 litres,6.00 x 15,7.00 x 15,two-seater berlinetta,4360 mm,1675 mm,1245 mm,2420 mm,-,-,950 kg (dry),280 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268 SP,1962,"This 2,458 cc barchetta was fitted with a single overhead camshaft V8 engine fed by four twin-choke Weber carburettors good for around 250 bhp. The tubular space-frame featured all-round independent suspension while the bodywork was very similar to the 246 SP’s. The 268 SP version was also fitted with a V8 engine the displacement of which, with the stroke increased to 71 mm, was upped to 2,650 cc.",77 x 71 mm,330.62 cc,2644.96 cc,9.8 : 1,195 kW (265 hp) at 7000 rpm,100 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",four Weber 40 IF2C carburettors,"single spark plug per cylinder, single coil",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers",discs,5-speed + reverse,rack-and-pinion,capacity 130 litres,5.50 x 15,7.00 x 15,two-seater spider,4060 mm,1480 mm,970 mm,2320 mm,1200 mm,1200 mm,660 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248 SP,1962,"This 2,458 cc barchetta was fitted with a single overhead camshaft V8 engine fed by four twin-choke Weber carburettors good for around 250 bhp. The tubular space-frame featured all-round independent suspension while the bodywork was very similar to the 246 SP’s. The 268 SP version was also fitted with a V8 engine the displacement of which, with the stroke increased to 71 mm, was upped to 2,650 cc.",77 x 66 mm,307.33 cc,2458.70 cc,9.8 : 1,184 kW (250 hp) at 7400 rpm,102 hp/l,-,"single overhead camshafts per bank, two valves per cylinder",four Weber 40 IF2C carburettors,"single spark plug per cylinder, single coil",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers",discs,5-speed + reverse,rack-and-pinion,-,5.25 x 15,6.50 x 15,two-seater spider,4060 mm,1480 mm,970 mm,2320 mm,-,-,640 kg (dry),290 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286 SP,1962,"This second model that debuted at the 1962 press conference is very similar indeed to the 196 SP both in terms of dimensions and styling. The body, in fact, was built to comply with the new FIA regulations with a windscreen and tail that were much lower than the previous 246 SP prototype’s. The engine was not a Dino as the angle between the two cylinder banks was 60° and not 65° and could really have been considered half a 12-cylinder. This model had no successor because the big V6 was abandoned in favour of the new V8 engines.",90 x 75 mm,477.13 cc,2862.78 cc,9.5 : 1,191 kW (260 hp) at 6800 rpm,91 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 42 DCN carburettors,"single spark plug per cylinder, single coil",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers",discs,5-speed + reverse,rack-and-pinion,-,5.25 x 15,7.00 x 15,two-seater spider,4060 mm,1480 mm,970 mm,2320 mm,-,-,620 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196 SP,1962,"The traditional start of season press conference held in February 1962 saw the presentation of a whole series of rear-engined sports racing models with the result that the debut of the new 250 GT berlinetta, which later became the legendary 250 GTO, passed almost unnoticed. The sports models included the 196 SP which did not have a Dino engine, but was effectively a half of the 330’s V12 engine, from which it retained the bore and stroke. The 196 SP boasted the twin front air intakes first introduced on the single-seaters in 1961.",77 x 71 mm,330.62 cc,1983.72 cc,9.8 : 1,154 kW (210 hp) at 7500 rpm,106 hp/l,-,"single overhead camshafts per bank, two valves per cylinder",three Weber 42 DCN carburettors,"single spark plugs per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers",discs,5-speed + reverse,rack-and-pinion,-,5.25 x 15,6.50 x 15,two-seater spider,4060 mm,1480 mm,970 mm,2320 mm,1200 mm,1200 mm,600 kg (dry),240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 GT Berlinetta lusso,1962,"The prototype of the 250 GT Berlinetta Lusso was presented at the 1962 Paris Motor Show, and thanks to Pininfarina’s timeless styling, was a great success with the public.",73 x 58.8 mm,246.10 cc,2953.21 cc,9.2 : 1,176 kW (240 hp) at 7500 rpm,81 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCS carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers","live axle, radius arms, semi-elliptic springs, co-axial coil springs and telescopic shock absorbers",discs,4-speed + reverse,worm and sector,capacity 114 litres,185 x 15,185 x 15,two-seater berlinetta,-,-,-,2400 mm,1395 mm,1387 mm,1020 kg (dry),240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 GTO,1962,"All of the examples produced, apart from the ’64-bodied cars, had three removable ‘D’-shaped panels, retained by quarter turn fasteners, on the upper face of the nose, for increased radiator air throughput, the pattern being repeated with three similar uncovered openings in the underside of the nose panel.",73 x 58.8 mm,246.10 cc,2953.21 cc,9.8 : 1,221 kW (300 hp) at 7400 rpm,102 hp/l,,"single overhead camshafts per bank, two valves per cylinder",six Weber 38 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, co-axial coils and telescopic shock absorbers, anti-roll bar","live axle, twin radius arms, semi-elliptic springs, co-axial coil springs and telescopic shock absorbers",discs,5-speed + reverse,worm and roller,capacity 130 litres,6.00 x 15,7.00 x 15,two-seater berlinetta,4325 mm,1600 mm,1210 mm,2400 mm,1354 mm,1350 mm,880 kg (dry),280 km/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 P,1963,"The very first 12-cylinder mid-engined Ferrari was unveiled to the press on the track at Monza on March 4 1963. Pininfarina gave the car a wonderfully clean, sharp line with a roll-over hoop-cum-wing right behind the cockpit. The 250 P didn’t take long to establish its name on the track, its most prestigious victories coming at Sebring, Le Mans and the Nürburgring to name but a few. So good was its performance, in fact, that it won Ferrari the Sport-Prototype World Title again.",73 x 58.8 mm,246.10 cc,2953.21 cc,9.5 : 1,228 kW (310 hp) at 7500 rpm,105 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",six Weber 38 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 130 litres,5.50 x 15,7.00 x 15,two-seater spider,4015 mm,1670 mm,1080 mm,2400 mm,1350 mm,1340 mm,760 kg (dry),290 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 LM,1963,"Presented at the Paris Motor Show in October 1963, this was the berlinetta version of the 250 P prototype, sharing the same chassis and running gear with just minor modifications. The FIA’s refusal to homologate it as a GT car damaged its sales potential and the decision forced the car to compete with true prototypes, thus decreasing its chances of victory. On the other hand, it did extend the life of the 250 GTO on the racing circuits.",77 x 58.8 mm,273.81 cc,3285.72 cc,9.7 : 1,235 kW (320 hp) at 7500 rpm,97 hp/l,-,"single overhead camshafts per bank, two valves per cylinder",six Weber 38/40 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 130 litres,5.50 x 15,7.00 x 15,two-seater berlinetta,4090 mm,1700 mm,1115 mm,2400 mm,1350 mm,1340 mm,820 kg (dry),287 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 P,1964,"The versatile four-litre V12 made its first appearance in 1964 in the sports-prototypes following the three-litre 250 and 3.3-litre 275 versions. The new engine’s power would be constantly increased with each new version. It passed its reliability tests, bringing both wins and good placings for non-works teams in close contact with Ferrari such as NART and Maranello Concessionaires. The 330 P was a development of the sports-racing version of the 400 SA, which had already been successfully tried out in the 330 TRI and a few GTO models. At the end of the 1964 season, it scored another two victories: one in the Paris 1000 km at Monthléry and the other in the Trofeo Bettoia at Monza with Scarfiotti.",77 x 71 mm,330.62 cc,3967.44 cc,9.8 : 1,272 kW (370 hp) at 7200 rpm,93 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",six Weber 38 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 130 litres,6.00 x 15,7.25 x 15,two-seater spider,4160 mm,1675 mm,1055 mm,2400 mm,1350 mm,1340 mm,785 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 GT 2+2,1964,"The 330 America was replaced by the 330 GT 2+2, which was unveiled at the Brussels Show. It was fitted with the new 4-litre Type 209 V12, which sported a slightly longer engine block than the 400 SA series from which it was derived. The 330 GT 2+2′s elegant line was the work of Pininfarina, and two series were built. These differed principally in the front end treatment; the first series (1963-1965) having four headlights and the second (1965-1967) just two. Around 1,000 examples were built in all.",77 x 71 mm,330.62 cc,3967.44 cc,8.8 : 1,221 kW (300 hp) at 6600 rpm,76 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCZ/6 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","live axle, twin radius arms, semi-elliptic springs, coil springs over telescopic shock absorbers",discs,4-speed + overdrive + reverse,worm and sector,capacity 90 litres,205 x 15,205 x 15,2+2 coupé,4840 mm,1715 mm,1360 mm,2650 mm,1397 mm,1389 mm,1380 kg (dry),245 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 Superfast,1964,"This model, targeted at clients looking for uncompromising performance in a luxury car, was presented at the 1964 Geneva Motor Show. Derived from the 400 Superamerica, it was fitted with a special engine which benefited from the work of both Colombo and Lampredi. With three 40 DCZ/6 Webers, it boasted 400 bhp, which placed the car at the top of its class. Twenty-five units with a 4-speed gearbox were built during the first series. In 1966 a second series of twelve cars came out, which had additional speed.",88 x 68 mm,413.58 cc,4962.96 cc,8.8 : 1,294 kW (400 hp) at 6500 rpm,81 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",six Weber 40 DCZ/6 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","live axle, twin radius arms, semi-elliptic springs, coil springs over telescopic shock absorbers",discs,4-speed + overdrive + reverse,worm and sector,capacity 100 litres,205 x 15,205 x 15,two-seater coupé,4820 mm,1730 mm,1280 mm,2650 mm,1397 mm,1389 mm,1400 kg (dry),280 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
